id ArxivID TeamSize authors.n cited_by_count news policy speed NFigures
https://openalex.org/W4383860112 2404.19528 5 5 11 0 0 -230 4
https://openalex.org/W3023190093 2404.19528 7 7 849 46 3 -65 11
https://openalex.org/W3162351260 2404.19528 3 3 1214 3 0 -424 12
https://openalex.org/W3014866318 2404.19528 2 2 905 22 1 -28 3
https://openalex.org/W3037898693 2404.19528 3 3 651 2 0 -109 17
https://openalex.org/W3099479832 2404.19528 5 5 582 67 6 -245 19
https://openalex.org/W3024230195 2404.19528 2 3 413 0 0 -109 12
https://openalex.org/W3136933888 2404.19528 16 53 836 98 1 -369 3
https://openalex.org/W3100347265 2404.19528 4 4 440 0 0 -191 12
https://openalex.org/W3022714712 2404.19528 4 4 447 0 1 -51 5
https://openalex.org/W3036035276 2404.19528 7 7 455 18 1 -359 6
https://openalex.org/W3036908895 2404.19528 6 6 369 0 0 -196 5
https://openalex.org/W3106991655 2404.19528 6 6 317 15 0 -267 8
https://openalex.org/W3039119913 2404.19528 6 6 362 2 0 -118 17
https://openalex.org/W3017316599 2404.19528 2 2 237 18 0 -203 6
https://openalex.org/W3131326546 2404.19528 4 4 254 0 0 -296 2
https://openalex.org/W3152562394 2404.19528 6 6 219 0 0 -400 3
https://openalex.org/W3015207820 2404.19528 4 4 204 0 0 -119 17
https://openalex.org/W3035378948 2404.19528 9 9 158 2 1 -162 6
https://openalex.org/W3047535708 2404.19528 3 3 129 17 4 -281 2
https://openalex.org/W3028652260 2404.19528 5 5 114 0 0 -196 4
https://openalex.org/W3022841838 2404.19528 7 7 183 1 0 -243 9
https://openalex.org/W3012977814 2404.19528 1 1 122 0 0 -277 5
https://openalex.org/W3093150592 2404.19528 6 6 143 3 0 -335 3
https://openalex.org/W3026175677 2404.19528 3 3 151 19 0 -166 7
https://openalex.org/W3034157885 2404.19528 2 2 108 42 1 -145 9
https://openalex.org/W3108672867 2404.19528 9 9 185 0 1 -257 6
https://openalex.org/W3080347537 2404.19528 35 36 108 0 0 -167 18
https://openalex.org/W3128511643 2404.19528 8 8 136 1 0 -339 9
https://openalex.org/W3039163263 2404.19528 4 4 123 0 1 -111 6
https://openalex.org/W3102505974 2404.19528 1 1 91 0 0 -174 8
https://openalex.org/W3035056688 2404.19528 3 3 83 0 0 -91 5
https://openalex.org/W3087582936 2404.19528 13 13 134 1 1 -363 17
https://openalex.org/W3083560775 2404.19528 10 10 129 24 2 -181 4
https://openalex.org/W3093596228 2404.19528 3 3 159 0 2 -222 3
https://openalex.org/W3095631147 2404.19528 4 4 115 1 0 -230 9
https://openalex.org/W3047577433 2404.19528 6 6 181 1 0 -266 6
https://openalex.org/W3103274889 2404.19528 11 11 140 1 1 -65 5
https://openalex.org/W3141637546 2404.19528 11 11 109 0 0 -385 11
https://openalex.org/W3094737818 2404.19528 1 1 50 0 0 -231 3
https://openalex.org/W3033000020 2404.19528 4 4 81 0 0 -331 9
https://openalex.org/W3134496002 2404.19528 9 9 72 3 0 -359 7
https://openalex.org/W3088423812 2404.19528 1 1 97 1 0 -197 4
https://openalex.org/W3014312143 2404.19528 2 2 101 0 0 -90 9
https://openalex.org/W3102117345 2404.19528 5 5 55 0 0 -44 12
https://openalex.org/W3127573699 2404.19528 9 9 79 1 0 -428 3
https://openalex.org/W3151753940 2404.19528 3 3 65 8 0 -454 7
https://openalex.org/W3114564572 2404.19528 9 9 71 0 0 -430 16
https://openalex.org/W3032599380 2404.19528 2 2 67 0 0 -82 6
https://openalex.org/W3100034118 2404.19528 1 1 59 0 0 -198 6
https://openalex.org/W3106386211 2404.19528 3 3 77 13 0 -251 16
https://openalex.org/W3174010878 2404.19528 5 5 56 0 0 -386 2
https://openalex.org/W3081244101 2404.19528 7 7 50 51 0 -525 8
https://openalex.org/W3100054078 2404.19528 1 1 73 0 0 -76 2
https://openalex.org/W3044337445 2404.19528 2 2 48 4 0 -135 16
https://openalex.org/W3108129014 2404.19528 1 1 42 0 0 -255 14
https://openalex.org/W3136182959 2404.19528 7 7 119 1 0 -365 5
https://openalex.org/W3025055719 2404.19528 3 3 48 0 0 -226 13
https://openalex.org/W3080689757 2404.19528 1 1 49 2 0 -166 5
https://openalex.org/W3024948171 2404.19528 6 6 63 0 0 -246 7
https://openalex.org/W3100751499 2404.19528 5 5 61 0 0 -217 10
https://openalex.org/W3175750419 2404.19528 3 3 43 13 0 -469 39
https://openalex.org/W3026587320 2404.19528 5 5 37 0 0 -73 14
https://openalex.org/W3022002504 2404.19528 3 3 45 NA NA -121 5
https://openalex.org/W3094035462 2404.19528 1 1 71 0 0 -511 8
https://openalex.org/W3033504345 2404.19528 2 2 98 0 0 -132 4
https://openalex.org/W3161987470 2404.19528 7 7 49 0 1 -429 3
